#NAME	year	sample_dna	soil_type	sampling_site	season	soil_depth	soil_depth_num	sampling_site_depth	soil_depth_two	rhizosphere	rhizosphere_type	rhizosphere_type_seasons
Lapidus-223	2019	223	Control	N3	Fall	0-10	10	N3-top	top	soil	N3_soil	N3_soil
Lapidus-224	2019	224	Control	N3	Fall	0-10	10	N3-top	top	soil	N3_soil	N3_soil
Lapidus-225	2019	225	Control	N3	Fall	0-10	10	N3-top	top	soil	N3_soil	N3_soil
Lapidus-226	2019	226	Control	N3	Fall	20-30	30	N3-30+	bottom	soil	N3_soil	N3_soil
Lapidus-227	2019	227	Control	N3	Fall	20-30	30	N3-30+	bottom	soil	N3_soil	N3_soil
Lapidus-228	2019	228	Control	N3	Fall	20-30	30	N3-30+	bottom	soil	N3_soil	N3_soil
Lapidus-229	2019	229	Control	N3	Fall	20-30	30	N3-30+	bottom	soil	N3_soil	N3_soil
Lapidus-230	2019	230	Control	N3	Fall	20-30	30	N3-30+	bottom	soil	N3_soil	N3_soil
Lapidus-231	2019	231	Control	N3	Fall	40-50	50	N3-30+	bottom	soil	N3_soil	N3_soil
Lapidus-232	2019	232	Control	N3	Fall	40-50	50	N3-30+	bottom	soil	N3_soil	N3_soil
Lapidus-233	2019	233	Control	N3	Fall	40-50	50	N3-30+	bottom	soil	N3_soil	N3_soil
Lapidus-234	2019	234	Control	N3	Fall	40-50	50	N3-30+	bottom	soil	N3_soil	N3_soil
Lapidus-235	2019	235	Control	N3	Fall	40-50	50	N3-30+	bottom	soil	N3_soil	N3_soil
2019-171	2019	171	Chern_taiga	N1	Fall	0-10	10	N1-top	top	soil	N1_soil	N1_soil
2019-172	2019	172	Chern_taiga	N1	Fall	0-10	10	N1-top	top	soil	N1_soil	N1_soil
2019-173	2019	173	Chern_taiga	N1	Fall	0-10	10	N1-top	top	soil	N1_soil	N1_soil
2019-174	2019	174	Chern_taiga	N1	Fall	0-10	10	N1-top	top	soil	N1_soil	N1_soil
2019-175	2019	175	Chern_taiga	N1	Fall	0-10	10	N1-top	top	soil	N1_soil	N1_soil
2019-206	2019	206	Control	N2	Fall	0-10	10	N2-top	top	soil	N2_soil	N2_soil
2019-207	2019	207	Control	N2	Fall	0-10	10	N2-top	top	soil	N2_soil	N2_soil
2019-208	2019	208	Control	N2	Fall	0-10	10	N2-top	top	soil	N2_soil	N2_soil
2019-209	2019	209	Control	N2	Fall	0-10	10	N2-top	top	soil	N2_soil	N2_soil
2019-210	2019	210	Control	N2	Fall	0-10	10	N2-top	top	soil	N2_soil	N2_soil
2019-236	2019	236	Chern_taiga	T1	Fall	0-10	10	T1-top	top	soil	T1_soil	T1_soil
2019-237	2019	237	Chern_taiga	T1	Fall	0-10	10	T1-top	top	soil	T1_soil	T1_soil
2019-238	2019	238	Chern_taiga	T1	Fall	0-10	10	T1-top	top	soil	T1_soil	T1_soil
2019-239	2019	239	Chern_taiga	T1	Fall	0-10	10	T1-top	top	soil	T1_soil	T1_soil
2019-240	2019	240	Chern_taiga	T1	Fall	0-10	10	T1-top	top	soil	T1_soil	T1_soil
2019-261	2019	261	Control	T3	Fall	0-10	10	T3-top	top	soil	T3_soil	T3_soil
2019-262	2019	262	Control	T3	Fall	0-10	10	T3-top	top	soil	T3_soil	T3_soil
2019-263	2019	263	Control	T3	Fall	0-10	10	T3-top	top	soil	T3_soil	T3_soil
2019-264	2019	264	Control	T3	Fall	0-10	10	T3-top	top	soil	T3_soil	T3_soil
2019-265	2019	265	Control	T3	Fall	0-10	10	T3-top	top	soil	T3_soil	T3_soil
2020-306	2020	306	Chern_taiga	N1	Spring	0-10	10	N1-top	top	soil	N1_soil	N1_soil
