#TAXONOMY,"Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ff6bcacf670c6ef9f719bcb71eb0ec84","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","mitochondria",NA,NA
"96f415c3fd2e788b2f6b35fd49b352cf","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","mitochondria",NA,NA
"b2b3b3c59e55c38261bfab3406776ad7","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","mitochondria",NA,NA
"c6efdb48c3e29e4499504575227f84f8","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","mitochondria",NA,NA
"3682fbc2f74f93aaaa449a91a2e3dfb0","Bacteria",NA,NA,NA,NA,NA,NA
"4c830f30702083db4ef0f1c86c32eb91","Bacteria",NA,NA,NA,NA,NA,NA
"e15fe09224aa569065ed579278466ae9","Bacteria",NA,NA,NA,NA,NA,NA
"b8c34171cc2efe9130880e7761520b5f","Bacteria",NA,NA,NA,NA,NA,NA
"a7b7ba655b2c0a0387272d256a2155ed","Bacteria",NA,NA,NA,NA,NA,NA
"6d21024c8d524821004d56e5e8395f73","Bacteria",NA,NA,NA,NA,NA,NA
"91bc39e840314712f0f039ae4d5e4955","Bacteria",NA,NA,NA,NA,NA,NA
"5aea1585ad522f19c58c953dd8cbe9eb","Bacteria",NA,NA,NA,NA,NA,NA
"354c91dad2e45ed4bff0a1d815873f47","Bacteria",NA,NA,NA,NA,NA,NA
"cda71f99f3808194e296c26ddb62a81d","Bacteria",NA,NA,NA,NA,NA,NA
"4be74cd50aaee30013a431c335156ba0","Bacteria",NA,NA,NA,NA,NA,NA
"4415e3e06861790c9ae15e0b7c31c393","Bacteria",NA,NA,NA,NA,NA,NA
"7156d288092c974a76f24061baa1a9da","Bacteria",NA,NA,NA,NA,NA,NA
"04293608e83832050e66eef6d413108b","Bacteria",NA,NA,NA,NA,NA,NA
"b93a57e61ba6272d370eb7641427bf83","Bacteria",NA,NA,NA,NA,NA,NA
"f0ee3edbca4391fbec19ba6e52776305","Bacteria",NA,NA,NA,NA,NA,NA
"d9a497d7769eba2574cceeb2413c02e7","Bacteria",NA,NA,NA,NA,NA,NA
"737a3d2c2719970ed2f05a70e635f5df","Bacteria",NA,NA,NA,NA,NA,NA
"039af533057dd5b6c245fc7c1528dd5e","Bacteria",NA,NA,NA,NA,NA,NA
"13dc75e90f51602943855cf0707a1173","Bacteria",NA,NA,NA,NA,NA,NA
"bad4cfbbd92c3c1c372f515191ace64d","Bacteria",NA,NA,NA,NA,NA,NA
"e871fd827172400362bb9eeb55a39600","Bacteria",NA,NA,NA,NA,NA,NA
"595740f3ec076b17c77f63880d9e01b4","Bacteria",NA,NA,NA,NA,NA,NA
"fe365ed2524410c736f9974b00b07e8d","Bacteria",NA,NA,NA,NA,NA,NA
"5ff99a1cf17db801a04698870b1afca4","Bacteria",NA,NA,NA,NA,NA,NA
"b246a2a7d1121e5318fccf15a3ea293c","Bacteria",NA,NA,NA,NA,NA,NA
"fca015d18d4eace2b5c3827eb418bd58","Bacteria",NA,NA,NA,NA,NA,NA
"1b8bc8d1b0905619316346532f699c4f","Bacteria",NA,NA,NA,NA,NA,NA
"ecba59a46a16bebd9b8f633583511342","Bacteria",NA,NA,NA,NA,NA,NA
"6c55cef533d089ad6f8b3351551683c1","Bacteria",NA,NA,NA,NA,NA,NA
"a35b85d926240412af51f79e1f4d816c","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","mitochondria",NA,NA
"c498dfa7ffee71685fa77e2c8a6ab665","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"29be64c9b477bd1722ff194431644f0e","Unassigned",NA,NA,NA,NA,NA,NA
"29f343c3fec86777d3118e222069948c","Bacteria",NA,NA,NA,NA,NA,NA
"2f48f6a1688e5b1ca253e4a4e25d3b65","Bacteria",NA,NA,NA,NA,NA,NA
"4a4e81f570869df383d8124cf46116a1","Bacteria",NA,NA,NA,NA,NA,NA
"9173c2b61ad5873669ff0eccc91da498","Bacteria",NA,NA,NA,NA,NA,NA
"4460a24eed16572dd4cd54311150368b","Bacteria",NA,NA,NA,NA,NA,NA
"b9819c7eb67e99469640aa5c83608079","Bacteria",NA,NA,NA,NA,NA,NA
"ba2cf96c591364d225a3c05a09d3639f","Bacteria",NA,NA,NA,NA,NA,NA
"e7ce1c6b89ef77896da66419170a413e","Bacteria",NA,NA,NA,NA,NA,NA
"140465e08f9bf94a1ed570e0723239c8","Bacteria",NA,NA,NA,NA,NA,NA
"62712c6b0148011cb5489df5cfd5fd21","Bacteria",NA,NA,NA,NA,NA,NA
"8b7e91d40ea9b08518a189775281dedc","Bacteria",NA,NA,NA,NA,NA,NA
"4256c674d17406a83a37dd02c26b8cea","Bacteria",NA,NA,NA,NA,NA,NA
"a7bf26a5a38d188ac4b5d913afa345b3","Bacteria",NA,NA,NA,NA,NA,NA
"da152d72c52977a8d3037404aee7afd4","Bacteria",NA,NA,NA,NA,NA,NA
"24ad7dda6ed010f703a7bc517e183889","Bacteria",NA,NA,NA,NA,NA,NA
"d5c21c2c2dd161ba1d7cfa25e1c96b9f","Bacteria",NA,NA,NA,NA,NA,NA
"f984c44bb0d8e0d666a5bda921e59859","Bacteria",NA,NA,NA,NA,NA,NA
"8f1c29d80abaa3c64a61db61920e363b","Bacteria",NA,NA,NA,NA,NA,NA
"e1a134569dfb4766cfd232578126feef","Bacteria",NA,NA,NA,NA,NA,NA
"4d772a1cbc940cab42cfd6c13589aea6","Bacteria",NA,NA,NA,NA,NA,NA
"c7bbb80af8e923db295753af77383447","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
